m,n,k,Version2,Version1
16,16,16,0.210,0.205
20,20,20,0.205,0.200
24,24,24,0.205,0.211
28,28,28,0.200,0.205
32,32,32,0.201,0.209
36,36,36,0.212,0.210
40,40,40,0.212,0.211
44,44,44,0.212,0.211
48,48,48,0.206,0.211
52,52,52,0.213,0.212
56,56,56,0.211,0.211
60,60,60,0.209,0.211
64,64,64,0.212,0.212
68,68,68,0.212,0.212
72,72,72,0.212,0.212
76,76,76,0.211,0.211
80,80,80,0.200,0.211
84,84,84,0.210,0.210
88,88,88,0.206,0.209
92,92,92,0.200,0.207
96,96,96,0.209,0.204
100,100,100,0.201,0.202
104,104,104,0.199,0.200
108,108,108,0.206,0.197
112,112,112,0.199,0.196
116,116,116,0.193,0.195
120,120,120,0.207,0.194
124,124,124,0.200,0.193
128,128,128,0.074,0.192
132,132,132,0.195,0.192
136,136,136,0.205,0.191
140,140,140,0.183,0.190
144,144,144,0.189,0.190
148,148,148,0.185,0.190
152,152,152,0.194,0.190
156,156,156,0.179,0.189
160,160,160,0.182,0.189
164,164,164,0.179,0.189
168,168,168,0.180,0.189
172,172,172,0.180,0.189
176,176,176,0.185,0.189
180,180,180,0.179,0.189
184,184,184,0.179,0.189
188,188,188,0.175,0.189
192,192,192,0.085,0.189
196,196,196,0.175,0.188
