m,n,k,Version0,Version1
16,16,16,0.410,0.210
20,20,20,0.432,0.202
24,24,24,0.401,0.203
28,28,28,0.407,0.205
32,32,32,0.446,0.213
36,36,36,0.449,0.208
40,40,40,0.440,0.211
44,44,44,0.446,0.211
48,48,48,0.449,0.212
52,52,52,0.449,0.211
56,56,56,0.450,0.212
60,60,60,0.449,0.212
64,64,64,0.449,0.212
68,68,68,0.450,0.212
72,72,72,0.450,0.212
76,76,76,0.449,0.211
80,80,80,0.449,0.211
84,84,84,0.446,0.210
88,88,88,0.439,0.209
92,92,92,0.425,0.207
96,96,96,0.412,0.204
100,100,100,0.397,0.202
104,104,104,0.391,0.199
108,108,108,0.360,0.198
112,112,112,0.376,0.196
116,116,116,0.368,0.195
120,120,120,0.349,0.193
124,124,124,0.349,0.193
128,128,128,0.094,0.192
132,132,132,0.334,0.192
136,136,136,0.317,0.191
140,140,140,0.332,0.190
144,144,144,0.320,0.190
148,148,148,0.317,0.190
152,152,152,0.315,0.190
156,156,156,0.296,0.189
160,160,160,0.304,0.189
164,164,164,0.307,0.189
168,168,168,0.299,0.189
172,172,172,0.299,0.189
176,176,176,0.315,0.188
180,180,180,0.281,0.189
184,184,184,0.292,0.188
188,188,188,0.290,0.188
192,192,192,0.109,0.188
196,196,196,0.278,0.189
