m,n,k,Version2,Version1
16,16,16,1.026,0.205
20,20,20,1.142,0.200
24,24,24,1.202,0.211
28,28,28,1.292,0.206
32,32,32,1.338,0.209
36,36,36,1.372,0.210
40,40,40,1.406,0.211
44,44,44,1.420,0.211
48,48,48,1.437,0.211
52,52,52,1.435,0.212
56,56,56,1.451,0.211
60,60,60,1.440,0.212
64,64,64,1.440,0.212
68,68,68,1.439,0.212
72,72,72,1.438,0.212
76,76,76,1.439,0.211
80,80,80,1.430,0.211
84,84,84,1.416,0.210
88,88,88,1.375,0.209
92,92,92,1.377,0.207
96,96,96,1.337,0.204
100,100,100,1.320,0.202
104,104,104,1.309,0.200
108,108,108,1.224,0.198
112,112,112,1.290,0.196
116,116,116,1.250,0.195
120,120,120,1.239,0.194
124,124,124,1.223,0.193
128,128,128,0.826,0.192
132,132,132,1.187,0.191
136,136,136,1.190,0.191
140,140,140,1.204,0.191
144,144,144,1.213,0.190
148,148,148,1.148,0.190
152,152,152,1.149,0.190
156,156,156,1.189,0.189
160,160,160,1.089,0.189
164,164,164,1.115,0.189
168,168,168,1.145,0.189
172,172,172,1.126,0.189
176,176,176,1.164,0.189
180,180,180,1.147,0.189
184,184,184,1.130,0.189
188,188,188,1.119,0.189
192,192,192,0.847,0.189
196,196,196,1.115,0.188
