m,n,k,Version5,Version1
16,16,16,0.628,0.158
20,20,20,0.939,0.198
24,24,24,0.485,0.209
28,28,28,1.071,0.204
32,32,32,1.112,0.208
36,36,36,1.152,0.206
40,40,40,1.196,0.209
44,44,44,1.200,0.209
48,48,48,1.242,0.203
52,52,52,1.261,0.210
56,56,56,1.167,0.210
60,60,60,1.297,0.205
64,64,64,1.311,0.209
68,68,68,1.318,0.209
72,72,72,1.314,0.210
76,76,76,1.314,0.210
80,80,80,1.318,0.210
84,84,84,1.225,0.207
88,88,88,1.301,0.207
92,92,92,1.291,0.205
96,96,96,1.230,0.203
100,100,100,1.219,0.200
104,104,104,1.180,0.199
108,108,108,1.167,0.197
112,112,112,1.190,0.195
116,116,116,1.182,0.194
120,120,120,1.173,0.193
124,124,124,1.168,0.193
128,128,128,1.167,0.192
132,132,132,1.220,0.191
136,136,136,1.221,0.191
140,140,140,1.209,0.190
144,144,144,1.196,0.190
148,148,148,1.197,0.190
152,152,152,1.195,0.189
156,156,156,1.199,0.189
160,160,160,1.190,0.189
164,164,164,1.195,0.188
168,168,168,1.192,0.189
172,172,172,1.196,0.188
176,176,176,1.198,0.188
180,180,180,1.196,0.188
184,184,184,1.198,0.188
188,188,188,1.200,0.188
192,192,192,1.199,0.188
196,196,196,1.200,0.188
